data		temperaturaAgora
------------------------------
2026-05-21T23:30	13.5
2026-05-22T22:30	13.9
2026-05-23T22:45	15.3
2026-05-24T22:45	16.4
2026-05-25T22:45	16.2
2026-05-26T22:45	17.5
2026-05-27T22:15	14.1
2026-05-28T22:45	13.8
2026-05-29T22:45	14.0
2026-05-30T22:45	16.1
2026-05-31T23:00	13.9
2026-06-01T23:00	11.8
2026-06-02T23:00	13.9
2026-06-03T23:00	14.4
2026-06-04T22:45	13.7
2026-06-05T22:45	13.3
2026-06-06T23:00	11.4
2026-06-07T23:00	12.7
2026-06-08T22:30	14.6
2026-06-09T22:45	14.0
2026-06-10T23:00	16.2
2026-06-11T23:00	14.2
2026-06-12T22:45	16.2
2026-06-13T23:00	15.7
2026-06-14T23:00	16.9
2026-06-15T23:00	14.0
2026-06-16T23:00	12.5
2026-06-17T23:00	11.0
2026-06-18T23:30	10.3
2026-06-19T22:45	15.2
2026-06-20T23:00	14.7
2026-06-21T23:00	10.7
2026-06-22T22:45	17.7
2026-06-23T22:45	13.2
2026-06-24T22:45	11.7
2026-06-25T22:45	11.2
2026-06-26T22:45	13.7
2026-06-27T22:45	16.1
2026-06-28T22:45	16.0
2026-06-29T22:45	16.5
2026-06-30T22:45	16.5
2026-07-01T22:45	16.7
2026-07-02T22:15	15.8
2026-07-04T22:15	12.9
2026-07-05T22:15	13.3
2026-07-06T22:15	14.9
2026-07-07T22:00	13.6
2026-07-08T22:15	12.1
2026-07-09T22:15	12.1
2026-07-10T22:00	16.0
2026-07-11T22:00	17.8
2026-07-12T22:15	13.4
2026-07-13T22:00	10.0
2026-07-14T22:00	11.0
2026-07-15T22:00	12.4
2026-07-16T22:15	13.6
2026-07-17T22:00	13.6
2026-07-18T22:00	15.1
2026-07-20T00:00	16.4
2026-07-20T22:00	15.9
2026-07-21T22:00	18.0
2026-07-22T22:15	16.6
2026-07-23T22:00	14.9
